DAP,median,q25,q75,mean,std
1.770000000000000000e+02,1.335907307153674228e-01,1.071320314635973436e-01,1.477885208417615004e-01,1.254167912984500977e-01,3.369530227148735679e-02
1.780000000000000000e+02,1.096634569387535674e-01,7.167614407928342424e-02,1.305771794507744055e-01,9.828106337378735013e-02,4.876133119788307602e-02
1.790000000000000000e+02,7.543971986411551756e-02,5.103258613755123907e-02,1.079616744978493803e-01,8.084960046889523577e-02,4.663954836583156238e-02
1.800000000000000000e+02,8.788358415011048030e-02,5.853272710938982326e-02,1.085726021389984697e-01,8.210902478222202594e-02,4.106091608735165654e-02
1.810000000000000000e+02,9.225535749570488997e-02,5.987955175749953840e-02,9.896446823627744194e-02,7.514422749728302819e-02,3.412939860316141494e-02
1.820000000000000000e+02,8.947347884237767668e-02,5.662569035606265094e-02,8.964435549173799256e-02,6.768887095107452290e-02,3.105005746720642529e-02
1.830000000000000000e+02,7.177941059931711165e-02,4.369027067745223647e-02,8.355834060774838812e-02,6.090593732369470326e-02,3.344784313697710815e-02
1.840000000000000000e+02,7.753823626629963162e-02,4.625500083478768787e-02,8.963067736291159548e-02,6.474437337636630707e-02,3.655326259954778945e-02
1.850000000000000000e+02,4.399976497281277155e-02,2.500294484164980111e-02,6.371281677716518488e-02,4.447725275493905756e-02,3.160828141695950361e-02
1.860000000000000000e+02,3.435583767273805988e-02,1.917920403728512121e-02,4.865278789756978528e-02,3.376938206565725104e-02,2.406865310181883350e-02
1.870000000000000000e+02,9.369089494025600526e-03,6.183510531366764526e-03,3.284796070483726044e-02,2.289795099279414922e-02,2.378046079092577605e-02
1.880000000000000000e+02,7.944856232650163597e-04,3.972428116325081799e-04,1.521930168777652949e-02,1.014620112518435299e-02,1.379092374110616782e-02
1.890000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.220929064496248578e-03,1.480619376330832458e-03,2.093912002719456461e-03
1.900000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.591688543333255535e-03,1.727792362222170357e-03,2.443467391619240456e-03
1.910000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
